,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Total Growth 2000–2021
"Total Transportation (Mt of CO2e)a,d,e",160.1,159.5,161.4,166.2,171.8,174.9,172.9,179.8,178.4,176.5,181.4,181.0,182.3,185.1,181.5,180.4,180.2,185.9,192.4,194.3,156.3,163.3,2.0%
,,,,,,,,,,,,,,,,,,,,,,,
"Passenger Transportation (Mt of CO2e)a,d,e",89.4,87.7,90.7,90.9,92.3,93.5,91.3,94.2,91.6,90.4,91.7,91.0,92.2,94.2,91.5,93.5,96.0,97.7,100.9,102.0,74.7,76.3,-14.7%
Cars,43.9,43.5,44.6,44.1,43.6,43.0,41.9,42.8,41.3,41.1,40.6,39.2,38.2,37.9,35.9,35.9,35.6,34.7,33.8,33.2,26.2,26.0,-40.7%
Light Trucks,25.6,25.8,27.1,27.7,28.3,28.9,28.2,29.5,29.2,29.9,30.9,31.2,31.7,33.0,33.0,34.6,37.2,38.6,40.2,41.5,35.4,36.7,43.1%
Motorcycles,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.3,0.4,135.2%
Buses,3.5,3.4,3.9,4.1,3.6,3.9,3.5,3.9,4.0,3.9,4.2,4.3,3.9,4.1,3.9,3.8,3.5,3.2,3.3,3.5,2.0,1.9,-44.8%
Air,16.0,14.6,14.7,14.6,16.3,17.3,17.2,17.5,16.5,14.9,15.4,15.7,17.8,18.6,18.2,18.6,19.1,20.6,23.1,23.2,10.7,11.1,-30.6%
Rail,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.1,-46.8%
,,,,,,,,,,,,,,,,,,,,,,,
"Freight Transportation (Mt of CO2e)a,d,e",64.8,65.2,64.0,68.5,72.6,74.3,74.4,78.3,79.4,78.8,82.3,82.5,82.5,83.2,82.1,78.7,75.9,79.7,82.8,83.5,72.4,77.6,19.8%
 Light Trucks,10.2,10.4,10.8,10.9,11.1,11.3,11.1,11.7,11.6,11.8,12.2,12.2,12.4,13.0,13.0,13.5,14.5,15.1,15.7,16.2,13.9,14.4,40.8%
 Medium Trucks,10.8,12.3,11.9,14.0,15.6,14.5,16.8,17.3,18.2,19.4,21.6,21.1,20.9,21.7,21.1,20.1,19.6,19.5,20.2,19.8,16.8,18.2,69.1%
 Heavy Trucks,29.0,27.2,26.8,28.9,30.2,32.2,31.1,32.5,32.7,32.2,32.9,34.5,34.4,34.4,34.4,32.4,30.3,32.3,33.6,33.5,29.1,31.9,10.0%
 Air,0.6,0.5,0.5,0.5,0.5,0.5,0.5,0.4,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.7,1.1,89.8%
 Rail,6.4,6.3,5.7,5.8,6.0,6.4,6.7,7.2,7.5,6.4,6.3,7.1,7.3,7.1,7.3,6.9,6.3,7.3,7.4,7.5,7.0,6.9,8.4%
 Marine,7.9,8.6,8.2,8.3,9.2,9.4,8.3,9.2,9.0,8.7,9.0,7.2,6.9,6.5,5.9,5.4,4.7,5.1,5.3,6.0,5.0,5.2,-34.8%
,,,,,,,,,,,,,,,,,,,,,,,
"Off-Road (Mt of CO2e)d,e",5.9,6.6,6.7,6.8,7.0,7.1,7.2,7.3,7.4,7.4,7.4,7.5,7.6,7.8,7.9,8.1,8.3,8.5,8.6,8.8,9.2,9.4,60.0%
,,,,,,,,,,,,,,,,,,,,,,,
"Agriculture (Mt of CO2e)a,e",15.6,15.0,14.3,15.0,14.9,15.1,15.2,15.7,15.8,13.3,15.6,16.9,16.5,17.2,17.7,18.4,18.6,19.0,19.6,18.8,18.0,18.3,17.5%
